sex,age,famsize,Pstatus,Mjob,Fjob,guardian,traveltime,famrel,freetime,health,absences,G1,G2,G3
F,17.0,GT3,T,other,other,mother,2.0,4.0,3.0,4.0,0.0,17,18,Excellent
F,18.0,GT3,T,at_home,other,mother,3.0,4.0,3.0,4.0,0.0,9,0,Poor
M,18.0,LE3,T,at_home,services,mother,2.0,4.0,1.0,1.0,8.0,10,11,Good
M,18.0,GT3,T,at_home,services,mother,3.0,2.0,5.0,1.0,5.0,12,13,Very Good
M,17.0,GT3,T,other,services,father,3.0,4.0,2.0,4.0,4.0,12,13,Very Good
F,18.0,GT3,T,other,other,mother,2.0,1.0,3.0,2.0,4.0,8,8,Good
F,18.0,LE3,T,services,services,father,2.0,5.0,4.0,3.0,0.0,11,12,Good
F,18.0,LE3,A,teacher,other,mother,1.0,5.0,,5.0,0.0,5,0,Poor
F,18.0,GT3,T,at_home,services,mother,3.0,4.0,4.0,2.0,2.0,9,10,Good
F,19.0,GT3,T,at_home,services,father,2.0,5.0,5.0,2.0,0.0,5,0,Poor
F,17.0,?,T,teacher,other,father,2.0,4.0,2.0,5.0,0.0,18,18,Excellent
F,17.0,LE3,A,services,other,mother,2.0,5.0,3.0,2.0,5.0,11,11,Good
F,18.0,LE3,A,at_home,services,mother,1.0,5.0,2.0,3.0,,8,10,Good
F,18.0,GT3,T,at_home,?,father,2.0,4.0,1.0,4.0,0.0,11,11,Good
F,19.0,GT3,A,at_home,at_home,?,2.0,3.0,5.0,1.0,0.0,8,0,Poor
F,18.0,GT3,T,services,other,mother,2.0,4.0,2.0,4.0,5.0,14,14,Very Good
M,17.0,?,T,services,other,mother,2.0,4.0,5.0,2.0,4.0,10,11,Good
F,18.0,GT3,T,services,services,father,1.0,5.0,3.0,5.0,0.0,10,10,Good
F,17.0,GT3,T,teacher,services,father,2.0,4.0,,5.0,2.0,12,12,Good
F,17.0,LE3,A,services,other,mother,2.0,1.0,2.0,5.0,0.0,15,14,Very Good
M,18.0,LE3,T,other,services,father,2.0,3.0,3.0,3.0,2.0,14,13,Very Good
F,18.0,LE3,T,at_home,services,father,2.0,5.0,3.0,4.0,0.0,19,17,Excellent
F,18.0,LE3,A,at_home,other,mother,3.0,4.0,3.0,5.0,0.0,16,15,Very Good
F,18.0,GT3,T,?,services,mother,2.0,4.0,3.0,3.0,6.0,13,12,Good
F,17.0,LE3,T,at_home,at_home,mother,1.0,2.0,3.0,1.0,4.0,15,14,Very Good
F,17.0,GT3,T,other,services,father,2.0,3.0,2.0,3.0,0.0,13,13,Good
M,18.0,GT3,T,at_home,other,mother,2.0,3.0,3.0,3.0,0.0,8,10,Fair
M,18.0,LE3,T,teacher,services,mother,2.0,,2.0,5.0,0.0,15,16,Very Good
F,17.0,GT3,T,other,services,mother,,5.0,2.0,1.0,0.0,8,8,Fair
F,18.0,GT3,T,at_home,?,father,2.0,5.0,2.0,4.0,0.0,10,10,Good
F,18.0,GT3,T,other,teacher,father,3.0,3.0,2.0,5.0,0.0,7,5,Poor
M,18.0,LE3,T,at_home,services,father,3.0,,3.0,,3.0,9,10,Good
F,17.0,GT3,T,other,at_home,mother,1.0,3.0,4.0,3.0,8.0,10,11,Good
F,17.0,GT3,T,other,other,mother,1.0,3.0,5.0,1.0,4.0,7,8,Fair
F,18.0,LE3,T,other,other,mother,2.0,5.0,4.0,1.0,0.0,15,17,Excellent
F,18.0,GT3,T,other,other,mother,4.0,4.0,3.0,4.0,4.0,10,11,Good
F,19.0,GT3,T,at_home,other,other,2.0,4.0,3.0,3.0,4.0,7,8,Fair
?,18.0,LE3,T,teacher,services,mother,1.0,5.0,4.0,2.0,1.0,13,14,Very Good
F,18.0,GT3,T,other,other,mother,1.0,4.0,1.0,1.0,1.0,16,16,Very Good
F,17.0,GT3,T,at_home,other,mother,1.0,4.0,,1.0,10.0,8,9,Fair
M,18.0,GT3,T,teacher,teacher,father,1.0,3.0,2.0,2.0,4.0,17,18,Excellent
M,18.0,GT3,T,other,other,mother,2.0,4.0,4.0,5.0,0.0,7,7,Poor
M,17.0,GT3,T,other,services,father,2.0,4.0,4.0,,4.0,14,15,Very Good
M,19.0,GT3,T,other,services,?,2.0,4.0,3.0,5.0,0.0,5,8,Poor
M,18.0,GT3,T,other,other,father,2.0,5.0,,,0.0,7,7,Poor
F,18.0,GT3,T,at_home,other,mother,2.0,5.0,3.0,4.0,,14,17,Very Good
F,17.0,GT3,T,teacher,other,mother,2.0,5.0,5.0,1.0,0.0,6,9,Good
F,18.0,GT3,T,teacher,at_home,mother,3.0,4.0,4.0,5.0,4.0,7,9,Good
F,19.0,GT3,T,services,other,mother,1.0,5.0,4.0,5.0,4.0,10,11,Good
F,18.0,LE3,T,teacher,services,mother,1.0,4.0,3.0,1.0,,15,15,Very Good
F,18.0,GT3,T,?,other,mother,2.0,1.0,1.0,5.0,6.0,11,12,Fair
M,17.0,LE3,T,services,services,mother,,2.0,4.0,2.0,6.0,10,10,Good
M,18.0,LE3,T,?,other,mother,3.0,4.0,4.0,5.0,4.0,10,11,Good
